0	4	2	4	6	5	4	0	2	19	3	1	2	2	1	2	9	1	2	3
0	0	7	2	3	4	0	2	2	1	4	0	4	3	2	6	5	0	1	16
11	18	0	6	56	9	0	1	29	0	14	15	9	2	7	1	2	11	2	6
1	7	0	0	5	3	5	1	3	5	0	6	5	2	1	7	2	6	3	7
0	3	2	0	0	1	2	2	2	9	1	5	2	2	1	2	2	8	1	3
3	2	0	2	1	0	0	1	1	4	1	2	1	3	0	1	1	3	1	3
1	2	4	21	2	1	0	1	3	3	1	1	1	6	0	5	3	1	0	0
2	0	2	5	3	1	0	0	2	0	2	0	2	2	1	2	1	1	1	5
8	1	2	4	6	3	0	4	0	7	5	1	1	0	3	3	0	1	1	14
2	2	1	0	3	6	1	0	4	0	1	0	1	1	6	2	2	4	1	7
0	5	0	1	3	2	0	0	4	1	0	0	0	3	0	0	0	0	1	9
3	2	0	2	15	2	4	7	6	5	7	0	5	7	7	8	0	2	1	1
1	7	7	15	0	4	1	2	0	0	0	2	0	2	0	0	4	7	7	3
0	1	1	3	6	1	0	2	5	1	2	1	1	0	0	0	0	3	0	5
0	7	9	4	21	0	1	1	15	3	4	7	0	1	0	15	2	1	3	25
2	1	0	4	11	0	0	3	0	1	2	0	2	6	7	0	0	2	1	1
1	8	1	1	2	1	0	10	4	9	4	0	2	4	2	2	0	8	0	3
3	0	1	1	4	1	0	1	1	2	1	0	0	4	0	2	0	0	1	1
7	9	4	1	1	3	0	5	2	1	1	0	6	4	2	5	4	2	0	8
0	8	0	3	5	9	2	2	4	1	5	4	2	1	2	1	3	0	0	0
